observation_date,MORTGAGE30US
2004-01-01,5.71
2004-02-01,5.64
2004-03-01,5.45
2004-04-01,5.83
2004-05-01,6.27
2004-06-01,6.29
2004-07-01,6.06
2004-08-01,5.87
2004-09-01,5.75
2004-10-01,5.72
2004-11-01,5.73
2004-12-01,5.75
2005-01-01,5.71
2005-02-01,5.63
2005-03-01,5.93
2005-04-01,5.86
2005-05-01,5.72
2005-06-01,5.58
2005-07-01,5.70
2005-08-01,5.82
2005-09-01,5.77
2005-10-01,6.07
2005-11-01,6.33
2005-12-01,6.27
2006-01-01,6.15
2006-02-01,6.25
2006-03-01,6.32
2006-04-01,6.51
2006-05-01,6.60
2006-06-01,6.68
2006-07-01,6.76
2006-08-01,6.52
2006-09-01,6.40
2006-10-01,6.36
2006-11-01,6.24
2006-12-01,6.14
2007-01-01,6.22
2007-02-01,6.29
2007-03-01,6.16
2007-04-01,6.18
2007-05-01,6.26
2007-06-01,6.66
2007-07-01,6.70
2007-08-01,6.57
2007-09-01,6.38
2007-10-01,6.38
2007-11-01,6.21
2007-12-01,6.10
2008-01-01,5.76
2008-02-01,5.92
2008-03-01,5.97
2008-04-01,5.92
2008-05-01,6.04
2008-06-01,6.32
2008-07-01,6.43
2008-08-01,6.48
2008-09-01,6.04
2008-10-01,6.20
2008-11-01,6.09
2008-12-01,5.29
2009-01-01,5.05
2009-02-01,5.13
2009-03-01,5.00
2009-04-01,4.81
2009-05-01,4.86
2009-06-01,5.42
2009-07-01,5.22
2009-08-01,5.19
2009-09-01,5.06
2009-10-01,4.95
2009-11-01,4.88
2009-12-01,4.93
2010-01-01,5.03
2010-02-01,4.99
2010-03-01,4.97
2010-04-01,5.10
2010-05-01,4.89
2010-06-01,4.74
2010-07-01,4.56
2010-08-01,4.43
2010-09-01,4.35
2010-10-01,4.23
2010-11-01,4.30
2010-12-01,4.71
2011-01-01,4.76
2011-02-01,4.95
2011-03-01,4.84
2011-04-01,4.84
2011-05-01,4.64
2011-06-01,4.51
2011-07-01,4.55
2011-08-01,4.27
2011-09-01,4.11
2011-10-01,4.07
2011-11-01,3.99
2011-12-01,3.96
2012-01-01,3.92
2012-02-01,3.89
2012-03-01,3.95
2012-04-01,3.91
2012-05-01,3.80
2012-06-01,3.68
2012-07-01,3.55
2012-08-01,3.60
2012-09-01,3.50
2012-10-01,3.38
2012-11-01,3.35
2012-12-01,3.35
2013-01-01,3.41
2013-02-01,3.53
2013-03-01,3.57
2013-04-01,3.45
2013-05-01,3.54
2013-06-01,4.07
2013-07-01,4.37
2013-08-01,4.46
2013-09-01,4.49
2013-10-01,4.19
2013-11-01,4.26
2013-12-01,4.46
2014-01-01,4.43
2014-02-01,4.30
2014-03-01,4.34
2014-04-01,4.34
2014-05-01,4.19
2014-06-01,4.16
2014-07-01,4.13
2014-08-01,4.12
2014-09-01,4.16
2014-10-01,4.04
2014-11-01,4.00
2014-12-01,3.86
2015-01-01,3.67
2015-02-01,3.71
2015-03-01,3.77
2015-04-01,3.67
2015-05-01,3.84
2015-06-01,3.98
2015-07-01,4.05
2015-08-01,3.91
2015-09-01,3.89
2015-10-01,3.80
2015-11-01,3.94
2015-12-01,3.96
2016-01-01,3.87
2016-02-01,3.66
2016-03-01,3.69
2016-04-01,3.61
2016-05-01,3.60
2016-06-01,3.57
2016-07-01,3.44
2016-08-01,3.44
2016-09-01,3.46
2016-10-01,3.47
2016-11-01,3.77
2016-12-01,4.20
2017-01-01,4.15
2017-02-01,4.17
2017-03-01,4.20
2017-04-01,4.05
2017-05-01,4.01
2017-06-01,3.90
2017-07-01,3.97
2017-08-01,3.88
2017-09-01,3.81
2017-10-01,3.90
2017-11-01,3.92
2017-12-01,3.95
2018-01-01,4.03
2018-02-01,4.33
2018-03-01,4.44
2018-04-01,4.47
2018-05-01,4.59
2018-06-01,4.57
2018-07-01,4.53
2018-08-01,4.55
2018-09-01,4.63
2018-10-01,4.83
2018-11-01,4.87
2018-12-01,4.64
2019-01-01,4.46
2019-02-01,4.37
2019-03-01,4.27
2019-04-01,4.14
2019-05-01,4.07
2019-06-01,3.80
2019-07-01,3.77
2019-08-01,3.62
